Ссылка,Имя врача,Сумма Стаж,Специальность,Ученая степень,Работает в клиниках,Сумма Отзывов,Сумма Рейтинг
https://prodoctorov.ru/moskva/vrach/1000057-lebedeva/otzivi/,Лебедева Татьяна Валерьевна,6,Гастроэнтеролог,д.м.н.,ММКЦ Коммунарка (ранее Больница №40),4,0.32
https://prodoctorov.ru/moskva/vrach/1000129-haritonov/otzivi/,Харитонов Андрей Геннадьевич,20,Гастроэнтеролог,к.м.н.,Клиника «Эксперт»; Клиника «Рассвет»,37,0.99
https://prodoctorov.ru/moskva/vrach/1000218-sklavos/otzivi/,Склавос Карина Георгиевна,7,Гастроэнтеролог,первая категория,«Поликлиника.ру» на Крутицком Валу,3,0
https://prodoctorov.ru/moskva/vrach/1002037-bochkina/otzivi/,Бочкина Ангелина Викторовна,7,Гастроэнтеролог,к.м.н.,Клиника «Медси» на Благовещенском переулке,7,0.84
https://prodoctorov.ru/moskva/vrach/1003040-regel/otzivi/,Регель Светлана Александровна,22,"Врач УЗИ, гастроэнтеролог, детский врач УЗИ",к.м.н.,«ГорКлиника в Зюзино»; Клиника «CMD» на Бутырской; Клиника «Хеликс» на Дмитрия Донского; Лаборатория «CMD» на Грина,20,1
https://prodoctorov.ru/moskva/vrach/1003462-kostogryz/otzivi/,Костогрыз Злата Олеговна,6,"Гастроэнтеролог, диетолог, терапевт",к.м.н.,«Абакумов Клиник»,57,1
https://prodoctorov.ru/moskva/vrach/1003630-mozharova/otzivi/,Можарова Дарья Сергеевна,5,Гастроэнтеролог,высшая категория,«Поликлиника.ру» на Фрунзенской,1,0.39
https://prodoctorov.ru/moskva/vrach/1003709-skladchikova/otzivi/,Складчикова Анастасия Александровна,5,Гастроэнтеролог,к.м.н.,Поликлиника №195 филиал 3 (ранее поликлиника №162),5,0.7
https://prodoctorov.ru/moskva/vrach/1004566-kokorina/otzivi/,Кокорина Нина Геннадьевна,13,"Терапевт, гастроэнтеролог, кардиолог, пульмонолог",высшая категория,Лаборатория «Инвитро» на Щёлковском шоссе,2,0.46
https://prodoctorov.ru/moskva/vrach/1004665-kadieva/otzivi/,Кадиева Сабина Османовна,5,Гастроэнтеролог,высшая категория,Поликлиника №115 на Твардовского (ранее Поликлиника №180); Поликлиника №180 на Уваровском переулке,5,0
https://prodoctorov.ru/moskva/vrach/1004721-saprykina/otzivi/,Сапрыкина Полина Сергеевна,5,Гастроэнтеролог,высшая категория,Поликлиника №180 на Дубравной (ранее  ГП №229),1,0
https://prodoctorov.ru/moskva/vrach/1005668-vvedenskaya/otzivi/,Введенская Раиса Владимировна,39,Гастроэнтеролог,высшая категория; д.м.н.,Клиника «Бутово Мед»; Стоматология «Бутово Мед»,0,0
https://prodoctorov.ru/moskva/vrach/1010004-taymushanova/otzivi/,Таймусханова Петимат Хамзановна,20,"Терапевт, гастроэнтеролог",д.м.н.,«Институт красоты и здоровья» на Ленинском проспекте,0,0
https://prodoctorov.ru/moskva/vrach/1011852-suhoruchenkova/otzivi/,Сухорученкова Ирина Юрьевна,6,Гастроэнтеролог,высшая категория; к.м.н.,Детская поликлиника №140 Митино,3,0.38
https://prodoctorov.ru/moskva/vrach/1012579-ondar/otzivi/,Ондар Айлана Кержек-Ооловна,31,Гастроэнтеролог,к.м.н.,«СМ-Клиника» на Курской (2-ом Сыромятническом пер.),0,0
https://prodoctorov.ru/moskva/vrach/1012587-smirnov/otzivi/,Смирнов Юрий Юрьевич,38,"Гастроэнтеролог, детский гастроэнтеролог, детский диетолог, детский нутрициолог, диетолог, нутрициолог",к.м.н.,«Ист Клиник» на Университете; «Ист Клиника» на Соколе (ранее «Ист Клиник»); «Ист Клиника» в Митино (ранее «Ист Клиник»),203,1
https://prodoctorov.ru/moskva/vrach/1012805-andreeva/otzivi/,Андреева Ольга Алексеевна,37,Гастроэнтеролог,высшая категория,ЦКБ Управления делами Президента РФ,0,0
https://prodoctorov.ru/moskva/vrach/1012861-karmadanova/otzivi/,Кармаданова Юлия Алексеевна,5,Гастроэнтеролог,к.м.н.,Клиника «Семейная» на Первомайской,17,0.99
https://prodoctorov.ru/moskva/vrach/1013110-zharova/otzivi/,Жарова Мария Евгеньевна,9,Гастроэнтеролог,к.м.н.,Центр профилактической медицины (ГНИЦ на Петроверигском),3,0.69
https://prodoctorov.ru/moskva/vrach/1013571-lapina/otzivi/,Лапина Татьяна Львовна,10,Гастроэнтеролог,д.м.н.,Клиника внутренних болезней Василенко,0,0
https://prodoctorov.ru/moskva/vrach/1014295-sitnikova/otzivi/,Ситникова (Кудашкина) Екатерина Юрьевна,6,"Гастроэнтеролог, гепатолог",к.м.н.,Больница №83 ФНКЦ ФМБА России,1,0.35
https://prodoctorov.ru/moskva/vrach/1016386-arakelyan/otzivi/,Аракелян (Силонян) Анна Левоновна,8,"Гастроэнтеролог, детский гастроэнтеролог, педиатр",к.м.н.,«Клиника Фомина» на Мичуринском; Клиника «Рассвет»; НКЦ №2 (ранее ЦКБ РАН),4,0.51
https://prodoctorov.ru/moskva/vrach/1018767-filatova/otzivi/,Филатова Ксения Сергеевна,21,Гастроэнтеролог,высшая категория,Клиническая больница управления делами Президента РФ,0,0
https://prodoctorov.ru/moskva/vrach/1019405-skrylnik/otzivi/,Скрыльник Анастасия Сергеевна,5,Гастроэнтеролог,к.м.н.,«ABC медицина» в Коммунарке,0,0
https://prodoctorov.ru/moskva/vrach/1019685-bombin/otzivi/,Бомбин Александр Михайлович,14,Гастроэнтеролог,к.м.н.,Поликлиника №170 на Подольских курсантов,0,0
https://prodoctorov.ru/moskva/vrach/1019826-gorshkova/otzivi/,Горшкова Марина Владимировна,6,Гастроэнтеролог,высшая категория,Поликлиника №170 на Подольских курсантов,0,0
https://prodoctorov.ru/moskva/vrach/1020294-kishenko/otzivi/,Кищенко Владислав Олегович,4,"Гастроэнтеролог, терапевт",вторая категория,Диагностический центр №6 на Дмитровском шоссе,8,0.77
https://prodoctorov.ru/moskva/vrach/1020476-kiseleva/otzivi/,Киселева Тамара Геннадьевна,11,Гастроэнтеролог,высшая категория; д.м.н.,«Московский центр проблем здоровья»,0,0
https://prodoctorov.ru/moskva/vrach/1020988-frolova/otzivi/,Фролова Анастасия Александровна,16,Гастроэнтеролог,к.м.н.,«Мединцентр ГлавУпДК»,0,0
https://prodoctorov.ru/moskva/vrach/1021080-pirogova/otzivi/,Пирогова Ирина Юрьевна,38,"Гастроэнтеролог, гепатолог",д.м.н.,Клиника «Эс-мед»; Госпитальный центр «Семейный доктор» на Бауманской; «Семейный доктор» №15 на Бакунинской,14,0
https://prodoctorov.ru/moskva/vrach/1021440-anyuhina/otzivi/,Анюхина Анастасия Сергеевна,7,Гастроэнтеролог,к.м.н.,«Лечебный Центр» на Тимура Фрунзе,0,0
https://prodoctorov.ru/moskva/vrach/1021811-bulygin/otzivi/,Булыгин Герман Васильевич,7,"Гастроэнтеролог, эндоскопист",высшая категория,«Центральная поликлиника на Ленинградке» (ранее «Центральная поликлиника Литфонда»),14,0.98
